ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,403,46647,35541,37797,55800,147384,61620,81008,99937,71160
,404,46647,35541,37797,55800,147384,61620,81008,99937,71160
,405,46647,35541,37797,55800,147384,61620,81008,99937,71160
,406,46647,35541,37797,55800,147384,61620,81008,99937,71160
,407,46647,35541,37797,55800,147384,61620,81008,99937,71160
,408,46647,35541,37797,55800,147384,61620,81008,99937,71160
,409,46647,35541,37797,55800,147384,61620,81008,99937,71160
,410,46647,35541,37797,55800,147384,61620,81008,99937,71160
,411,46647,35541,37797,55800,147384,61620,81008,99937,71160
,412,46647,35541,37797,55800,147384,61620,81008,99937,71160
,413,46647,35541,37797,55800,147384,61620,81008,99937,71160
,414,46647,35541,37797,55800,147384,61620,81008,99937,71160
,415,46647,35541,37797,55800,147384,61620,81008,99937,71160
,416,46647,35541,37797,55800,147384,61620,81008,99937,71160
,417,46647,35541,37797,55800,147384,61620,81008,99937,71160
,418,46647,35541,37797,55800,147384,61620,81008,99937,71160
,419,46647,35541,37797,55800,147384,61620,81008,99937,71160
,420,46647,35541,37797,55800,147384,61620,81008,99937,71160
,421,46647,35541,37797,55800,147384,61620,81008,99937,71160
,422,46647,35541,37797,55800,147384,61620,81008,99937,71160
,423,46647,35541,37797,55800,147384,61620,81008,99937,71160
,424,46647,35541,37797,55800,147384,61620,81008,99937,71160
,425,46647,35541,37797,55800,147384,61620,81008,99937,71160
,426,46647,35541,37797,55800,147384,61620,81008,99937,71160
,427,46647,35541,37797,55800,147384,61620,81008,99937,71160
,428,46647,35541,37797,55800,147384,61620,81008,99937,71160
,429,46647,35541,37797,55800,147384,61620,81008,99937,71160
,430,46647,35541,37797,55800,147384,61620,81008,99937,71160
,431,46647,35541,37797,55800,147384,61620,81008,99937,71160
,432,46647,35541,37797,55800,147384,61620,81008,99937,71160
